id,snapshot_time,coin_id,price_usd,market_cap_usd,volume_24h_usd,price_change_24h,raw_data,created_at
57,2026-02-23 23:00:04.798261,bitcoin,64733.0000,1293777292146.3700,56755932721.0904,-4.38,,2026-02-23 23:00:04.798427
58,2026-02-23 23:00:04.798261,ethereum,1860.8800,224521237779.4771,23494920951.9985,-4.99,,2026-02-23 23:00:04.798427
59,2026-02-23 23:10:04.01373,bitcoin,64818.0000,1295240944383.4092,56830936051.9219,-4.14,,2026-02-23 23:10:04.013865
60,2026-02-23 23:10:04.01373,ethereum,1865.0900,224931390156.7007,23440171545.0630,-4.74,,2026-02-23 23:10:04.013865
61,2026-02-23 23:20:04.559453,bitcoin,64863.0000,1296624867572.9155,56351098709.9694,-3.87,,2026-02-23 23:20:04.559575
62,2026-02-23 23:20:04.559453,ethereum,1864.5600,225088187976.4138,23553932064.4676,-4.62,,2026-02-23 23:20:04.559575
63,2026-02-23 23:30:06.789358,bitcoin,64814.0000,1295772169115.4292,55717371271.5216,-4.06,,2026-02-23 23:30:06.789517
64,2026-02-23 23:30:06.789358,ethereum,1860.4100,224513466947.6179,22766030220.3559,-4.70,,2026-02-23 23:30:06.789517
65,2026-02-23 23:40:05.11712,bitcoin,64758.0000,1294964514142.4990,56700784271.6928,-4.10,,2026-02-23 23:40:05.117285
66,2026-02-23 23:40:05.11712,ethereum,1857.0400,224136907116.1691,24302016638.2120,-4.83,,2026-02-23 23:40:05.117285
67,2026-02-23 23:50:03.837791,bitcoin,64629.0000,1292238090803.5137,56714051189.4328,-4.34,,2026-02-23 23:50:03.837944
68,2026-02-23 23:50:03.837791,ethereum,1854.2200,223678461142.3707,31338189089.9921,-4.98,,2026-02-23 23:50:03.837944
69,2026-02-24 00:00:04.458594,bitcoin,64589.0000,1290677841858.2390,56243328919.8743,-4.50,,2026-02-24 00:00:04.458749
70,2026-02-24 00:00:04.458594,ethereum,1854.4400,223746346637.4112,30617846069.3115,-5.25,,2026-02-24 00:00:04.458749
71,2026-02-24 00:10:03.942834,bitcoin,64676.0000,1291834932904.8160,56490370074.0978,-4.33,,2026-02-24 00:10:03.942997
72,2026-02-24 00:10:03.942834,ethereum,1856.2500,224002080681.2767,30468144480.0382,-5.02,,2026-02-24 00:10:03.942997
73,2026-02-24 00:20:04.969238,bitcoin,64910.0000,1294975081092.5680,56140225163.9169,-3.91,,2026-02-24 00:20:04.969458
74,2026-02-24 00:20:04.969238,ethereum,1864.1800,224403586588.8206,29980010804.3057,-4.59,,2026-02-24 00:20:04.969458
75,2026-02-24 00:30:04.194809,bitcoin,64828.0000,1297020720210.6470,56680452433.3625,-3.87,,2026-02-24 00:30:04.194994
76,2026-02-24 00:30:04.194809,ethereum,1861.4600,224860253252.6754,28392349427.7125,-4.42,,2026-02-24 00:30:04.194994
77,2026-02-24 00:40:03.609386,bitcoin,64896.0000,1297900441768.9285,56867090890.8420,-3.44,,2026-02-24 00:40:03.609541
78,2026-02-24 00:40:03.609386,ethereum,1864.1400,225004087044.4906,30430666909.7410,-4.04,,2026-02-24 00:40:03.609541
79,2026-02-24 00:49:34.582456,bitcoin,64914.0000,1297804757362.8406,55975764495.6819,-3.27,,2026-02-24 00:49:34.582615
80,2026-02-24 00:49:34.582456,ethereum,1865.0800,225118856456.4748,23405810494.6714,-3.95,,2026-02-24 00:49:34.582615
81,2026-02-24 00:50:04.874736,bitcoin,64921.0000,1297804757362.8406,56495696320.8784,-3.26,,2026-02-24 00:50:04.874914
82,2026-02-24 00:50:04.874736,ethereum,1865.8200,225118856456.4748,23419163216.0258,-3.92,,2026-02-24 00:50:04.874914
83,2026-02-24 01:00:05.668749,bitcoin,64911.0000,1297508002791.7188,55777982326.3665,-2.76,,2026-02-24 01:00:05.668941
84,2026-02-24 01:00:05.668749,ethereum,1866.5200,225205654592.8967,23316012335.4233,-3.26,,2026-02-24 01:00:05.668941
85,2026-02-24 01:10:04.334797,bitcoin,64747.0000,1295084690757.1394,54262356662.1806,-2.38,,2026-02-24 01:10:04.334978
86,2026-02-24 01:10:04.334797,ethereum,1862.4500,224916405122.6962,22034691792.6468,-2.27,,2026-02-24 01:10:04.334978
87,2026-02-24 01:20:05.472602,bitcoin,63855.0000,1295084690757.1394,53479556809.4622,-2.43,,2026-02-24 01:20:05.472811
88,2026-02-24 01:20:05.472602,ethereum,1829.6000,224916405122.6962,21964140385.1807,-2.85,,2026-02-24 01:20:05.472811
89,2026-02-24 01:30:03.968545,bitcoin,64445.0000,1276457985112.1210,53072197061.2145,-1.01,,2026-02-24 01:30:03.9687
90,2026-02-24 01:30:03.968545,ethereum,1849.7000,220628904330.2185,21687579616.7244,-1.15,,2026-02-24 01:30:03.9687
91,2026-02-24 01:40:04.350765,bitcoin,64423.0000,1289742296682.7747,53038806881.5107,-1.17,,2026-02-24 01:40:04.350933
92,2026-02-24 01:40:04.350765,ethereum,1850.8600,223697289954.0223,22643955792.7283,-1.31,,2026-02-24 01:40:04.350933
93,2026-02-24 01:50:04.040453,bitcoin,64166.0000,1284204216175.2412,51836917649.3041,-0.89,,2026-02-24 01:50:04.040584
94,2026-02-24 01:50:04.040453,ethereum,1842.2800,222559200979.0739,21610765769.0574,-1.61,,2026-02-24 01:50:04.040584
95,2026-02-24 02:00:04.463873,bitcoin,64142.0000,1282499906318.5054,50766556774.8768,-0.46,,2026-02-24 02:00:04.464037
96,2026-02-24 02:00:04.463873,ethereum,1842.1200,222313610156.7658,20852766734.3351,-0.79,,2026-02-24 02:00:04.464037
97,2026-02-24 02:10:04.316006,bitcoin,64080.0000,1281437180162.4363,50123130257.3644,-0.99,,2026-02-24 02:10:04.316495
98,2026-02-24 02:10:04.316006,ethereum,1839.7300,222211096227.0918,21043840133.1208,-1.26,,2026-02-24 02:10:04.316495
99,2026-02-24 02:20:05.05397,bitcoin,64085.0000,1282927280465.9128,50003697946.8612,-0.95,,2026-02-24 02:20:05.05413
100,2026-02-24 02:20:05.05397,ethereum,1840.8600,222462829743.3374,21129614368.3998,-0.96,,2026-02-24 02:20:05.05413
101,2026-02-24 08:56:19.693017,bitcoin,63362.0000,1266438604143.0076,49011039204.8878,-3.41,,2026-02-24 08:56:19.693191
102,2026-02-24 08:56:19.693467,bitcoin,63362.0000,1266438604143.0076,49011039204.8878,-3.41,,2026-02-24 08:56:19.693592
103,2026-02-24 08:56:19.693017,ethereum,1831.0000,220894955541.5880,20711040584.3873,-2.50,,2026-02-24 08:56:19.693191
104,2026-02-24 08:56:19.693467,ethereum,1831.0000,220894955541.5880,20711040584.3873,-2.50,,2026-02-24 08:56:19.693592
105,2026-02-24 09:00:03.522825,bitcoin,63389.0000,1267063141457.5256,49462170935.8957,-3.48,,2026-02-24 09:00:03.523041
106,2026-02-24 09:00:03.522825,ethereum,1831.3900,221057326272.5052,20604755484.1209,-2.48,,2026-02-24 09:00:03.523041
107,2026-02-24 09:10:04.550843,bitcoin,63254.0000,1266113340417.8362,49520771128.3567,-3.87,,2026-02-24 09:10:04.551014
108,2026-02-24 09:10:04.550843,ethereum,1825.5000,220890525044.8456,20628560738.4167,-3.14,,2026-02-24 09:10:04.551014
109,2026-02-24 09:20:04.028438,bitcoin,63218.0000,1264172947371.0200,49446222205.7247,-3.92,,2026-02-24 09:20:04.028593
110,2026-02-24 09:20:04.028438,ethereum,1825.2500,220349803418.6900,20668889303.5599,-3.15,,2026-02-24 09:20:04.028593
111,2026-02-24 09:30:03.201828,bitcoin,63122.0000,1262074929937.7280,49342209421.7212,-4.10,,2026-02-24 09:30:03.202009
112,2026-02-24 09:30:03.201828,ethereum,1823.0100,220022077719.8026,20586118384.9562,-3.41,,2026-02-24 09:30:03.202009
113,2026-02-24 09:40:03.580555,bitcoin,63013.0000,1259278546773.1690,49372927354.4815,-4.75,,2026-02-24 09:40:03.580703
114,2026-02-24 09:40:03.580555,ethereum,1818.6100,219257608367.3100,21332117565.7122,-4.26,,2026-02-24 09:40:03.580703
115,2026-02-24 09:50:02.887071,bitcoin,63073.0000,1261646177110.5217,49245349472.4824,-4.86,,2026-02-24 09:50:02.887292
116,2026-02-24 09:50:02.887071,ethereum,1820.1400,219838840512.8391,26853024843.3856,-4.86,,2026-02-24 09:50:02.887292
117,2026-02-24 10:00:03.859536,bitcoin,63219.0000,1264005144805.7861,48867338442.2851,-4.79,,2026-02-24 10:00:03.859701
118,2026-02-24 10:00:03.859536,ethereum,1824.1700,220108956023.3203,26827034775.0899,-4.81,,2026-02-24 10:00:03.859701
119,2026-02-24 10:10:03.638944,bitcoin,63146.0000,1263075625240.1816,48844691793.9850,-4.99,,2026-02-24 10:10:03.639101
120,2026-02-24 10:10:03.638944,ethereum,1823.5800,220197497388.8083,26640839328.6622,-5.13,,2026-02-24 10:10:03.639101
121,2026-02-24 10:20:03.157449,bitcoin,63229.0000,1263167358600.3390,48800099410.7759,-4.63,,2026-02-24 10:20:03.157598
122,2026-02-24 10:20:03.157449,ethereum,1826.1000,220282944539.6386,27321879294.6817,-5.06,,2026-02-24 10:20:03.157598
123,2026-02-24 10:30:03.279321,bitcoin,63258.0000,1264995515379.5657,48478426751.0632,-4.77,,2026-02-24 10:30:03.279478
124,2026-02-24 10:30:03.279321,ethereum,1826.1100,220468700847.2256,27121378193.9959,-4.94,,2026-02-24 10:30:03.279478
125,2026-02-24 10:40:04.076115,bitcoin,63212.0000,1264324676200.2856,48649443959.1285,-4.64,,2026-02-24 10:40:04.076248
126,2026-02-24 10:40:04.076115,ethereum,1824.6200,220274795840.9992,27090263631.9293,-4.71,,2026-02-24 10:40:04.076248
127,2026-02-24 10:50:03.490649,bitcoin,63178.0000,1263355316415.4375,48263094154.8495,-4.76,,2026-02-24 10:50:03.490893
128,2026-02-24 10:50:03.490649,ethereum,1822.5900,219967935296.9726,25424839502.8496,-4.85,,2026-02-24 10:50:03.490893
129,2026-02-24 11:00:04.529046,bitcoin,63285.0000,1265333041975.2014,48238815421.1518,-4.63,,2026-02-24 11:00:04.529213
130,2026-02-24 11:00:04.529046,ethereum,1826.1800,220367916157.2612,26187113064.6407,-4.70,,2026-02-24 11:00:04.529213
131,2026-02-24 11:10:03.726004,bitcoin,63206.0000,1264005768381.9524,48716230414.3892,-4.62,,2026-02-24 11:10:03.726167
132,2026-02-24 11:10:03.726004,ethereum,1821.6800,219941064995.3196,26150430264.3224,-4.78,,2026-02-24 11:10:03.726167
133,2026-02-24 11:20:03.229872,bitcoin,63189.0000,1263409685807.9712,47702206274.5438,-4.79,,2026-02-24 11:20:03.230018
134,2026-02-24 11:20:03.229872,ethereum,1820.7600,219792300384.6373,26050179639.4480,-5.06,,2026-02-24 11:20:03.230018
135,2026-02-24 11:30:03.781877,bitcoin,63182.0000,1263127784232.8408,48241420983.0307,-4.74,,2026-02-24 11:30:03.782065
136,2026-02-24 11:30:03.781877,ethereum,1821.1800,219764619173.6760,26086017675.4701,-4.92,,2026-02-24 11:30:03.782065
137,2026-02-24 11:40:04.600047,bitcoin,63124.0000,1261600265672.2488,48688904517.2497,-4.60,,2026-02-24 11:40:04.600216
138,2026-02-24 11:40:04.600047,ethereum,1820.2300,219687256319.7158,25931679095.4011,-4.84,,2026-02-24 11:40:04.600216
139,2026-02-24 11:50:04.758618,bitcoin,63170.0000,1263020147636.1355,47867666386.2183,-4.50,,2026-02-24 11:50:04.758779
140,2026-02-24 11:50:04.758618,ethereum,1821.6100,219854456901.9905,20680740040.0176,-4.77,,2026-02-24 11:50:04.758779
141,2026-02-24 12:00:03.398869,bitcoin,63182.0000,1263314983347.0112,47807738676.2403,-4.53,,2026-02-24 12:00:03.399022
142,2026-02-24 12:00:03.398869,ethereum,1823.5500,220091721331.4682,19727084053.1071,-4.74,,2026-02-24 12:00:03.399022
143,2026-02-24 12:10:04.977784,bitcoin,63182.0000,1263695317314.8810,47711903955.9463,-4.56,,2026-02-24 12:10:04.977923
144,2026-02-24 12:10:04.977784,ethereum,1825.2700,220305416200.1183,20560781794.0625,-4.66,,2026-02-24 12:10:04.977923
145,2026-02-24 12:20:03.02535,bitcoin,63244.0000,1263591146556.4604,48824505291.6721,-4.49,,2026-02-24 12:20:03.025652
146,2026-02-24 12:20:03.02535,ethereum,1826.0100,220312922282.1869,19938328840.0785,-4.68,,2026-02-24 12:20:03.025652
147,2026-02-24 12:30:04.420348,bitcoin,63294.0000,1265547368713.5920,47749698024.0865,-4.29,,2026-02-24 12:30:04.420621
148,2026-02-24 12:30:04.420348,ethereum,1827.4000,220548392370.6896,19191724069.3204,-4.49,,2026-02-24 12:30:04.420621
149,2026-02-24 12:40:03.719799,bitcoin,63213.0000,1264633639993.1335,48284980246.3537,-4.63,,2026-02-24 12:40:03.719951
150,2026-02-24 12:40:03.719799,ethereum,1824.4800,220364725246.6749,19477168748.0484,-4.37,,2026-02-24 12:40:03.719951
151,2026-02-24 12:50:03.737314,bitcoin,63040.0000,1261027635051.1800,48075139920.9512,-5.00,,2026-02-24 12:50:03.737662
152,2026-02-24 12:50:03.737314,ethereum,1822.8800,220017377715.9392,25570077079.4154,-5.18,,2026-02-24 12:50:03.737662
153,2026-02-24 13:00:07.280646,bitcoin,62989.0000,1259933643237.8523,48130635368.7589,-5.04,,2026-02-24 13:00:07.280788
154,2026-02-24 13:00:07.280646,ethereum,1824.0800,220165750934.1497,25501898574.4631,-5.09,,2026-02-24 13:00:07.280788
155,2026-02-24 13:11:13.042279,bitcoin,62997.0000,1258239137731.7085,48027834720.8071,-4.92,,2026-02-24 13:11:13.042493
156,2026-02-24 13:11:13.042279,ethereum,1824.5700,219998801080.4581,24172233343.1082,-5.15,,2026-02-24 13:11:13.042493
157,2026-02-24 13:20:06.732392,bitcoin,63000.0000,1260722940763.1677,48151342515.3834,-4.87,,2026-02-24 13:20:06.732578
158,2026-02-24 13:20:06.732392,ethereum,1822.8000,220148831057.0752,25493283223.9423,-5.07,,2026-02-24 13:20:06.732578
159,2026-02-24 13:30:05.742948,bitcoin,62904.0000,1258482807204.3184,48184317400.9274,-5.01,,2026-02-24 13:30:05.743084
160,2026-02-24 13:30:05.742948,ethereum,1819.9500,219769376538.0784,25423116758.5969,-5.28,,2026-02-24 13:30:05.743084
161,2026-02-24 13:40:06.729816,bitcoin,62799.0000,1255457196972.8080,49407268613.3439,-5.13,,2026-02-24 13:40:06.730027
162,2026-02-24 13:40:06.729816,ethereum,1811.3100,218597076906.1038,26130060628.3755,-5.78,,2026-02-24 13:40:06.730027
163,2026-02-24 13:50:04.366452,bitcoin,62992.0000,1258514690483.6330,49759554350.4362,-5.05,,2026-02-24 13:50:04.366731
164,2026-02-24 13:50:04.366452,ethereum,1819.3600,219430333118.3506,20478298753.6592,-5.68,,2026-02-24 13:50:04.366731
165,2026-02-24 14:00:05.41628,bitcoin,62948.0000,1258935736691.5547,49861564657.5289,-4.82,,2026-02-24 14:00:05.416572
166,2026-02-24 14:00:05.41628,ethereum,1816.2700,219438820303.7123,19733630588.5282,-5.47,,2026-02-24 14:00:05.416572
167,2026-02-24 14:10:05.562692,bitcoin,62939.0000,1255831629557.4731,49896140330.8383,-4.90,,2026-02-24 14:10:05.562925
168,2026-02-24 14:10:05.562692,ethereum,1815.1900,218878328151.4264,19481148661.6308,-5.55,,2026-02-24 14:10:05.562925
169,2026-02-24 14:20:07.715067,bitcoin,62911.0000,1257012058385.1555,49974944545.9990,-5.02,,2026-02-24 14:20:07.715234
170,2026-02-24 14:20:07.715067,ethereum,1812.7700,218518366251.1175,20373114236.5480,-5.82,,2026-02-24 14:20:07.715234
171,2026-02-24 14:30:05.743478,bitcoin,62985.0000,1259283303782.9607,48366864653.7054,-4.69,,2026-02-24 14:30:05.743605
172,2026-02-24 14:30:05.743478,ethereum,1813.6800,218925263271.3221,20163453783.1806,-5.35,,2026-02-24 14:30:05.743605
173,2026-02-24 14:40:03.836934,bitcoin,63144.0000,1258746306657.4893,48760818056.9823,-4.10,,2026-02-24 14:40:03.837097
174,2026-02-24 14:40:03.836934,ethereum,1819.6900,218559089854.9810,20511921389.5557,-4.99,,2026-02-24 14:40:03.837097
175,2026-02-24 14:50:03.938054,bitcoin,63496.0000,1266385402350.3460,49011010911.0406,-3.39,,2026-02-24 14:50:03.938279
176,2026-02-24 14:50:03.938054,ethereum,1835.0400,220793598441.6332,19927929957.8887,-3.73,,2026-02-24 14:50:03.938279
177,2026-02-24 15:00:05.267302,bitcoin,63494.0000,1269609845602.5603,49251692482.5268,-3.76,,2026-02-24 15:00:05.267651
178,2026-02-24 15:00:05.267302,ethereum,1834.9900,221483163175.3088,20738274463.1177,-3.73,,2026-02-24 15:00:05.267651
179,2026-02-24 15:10:09.41701,bitcoin,63430.0000,1268865941581.0122,49109085885.1328,-3.64,,2026-02-24 15:10:09.417904
180,2026-02-24 15:10:09.41701,ethereum,1833.8600,221451855957.4714,20717776170.0244,-3.59,,2026-02-24 15:10:09.417904
181,2026-02-24 15:20:05.471385,bitcoin,63695.0000,1273517623188.2130,49326751162.8172,-3.41,,2026-02-24 15:20:05.471566
182,2026-02-24 15:20:05.471385,ethereum,1841.1500,222213550885.2331,20794025228.8698,-3.33,,2026-02-24 15:20:05.471566
183,2026-02-24 15:30:04.640942,bitcoin,63807.0000,1276248604410.0640,49434332205.1159,-3.20,,2026-02-24 15:30:04.64109
184,2026-02-24 15:30:04.640942,ethereum,1844.1600,222655094941.8027,19225480187.8376,-3.21,,2026-02-24 15:30:04.64109
185,2026-02-24 15:40:03.873283,bitcoin,63811.0000,1275952688865.5554,49351105116.2508,-3.10,,2026-02-24 15:40:03.873456
186,2026-02-24 15:40:03.873283,ethereum,1844.7500,222548159879.2487,20330095914.5991,-3.23,,2026-02-24 15:40:03.873456
